clean_comments,Replies,Likes
"this song has such a diferent feel now, holly shit",0,2
This country definitely has a bad track record of shit training of police and hiring psychopaths / racists.  It’s a big enough problem that should be covered in the news more. Just like police murdering their girlfriends and wives and never being held accountable for it because their buddies are cops. Many police departments operate like gangs. They cover up each other’s crimes and have too many protections. Politicians and police should be held accountable for their actions like everyone else.  They should also not have military weapons  to attack their own people with. And they shouldn’t use shooting as a preferred method of “arrest”,1,2
"More like This is Africa lol
(this is a joke)",0,0
This hits different in 2020,0,0
This video is before it's time,0,0
Let's get this to a 1b views,0,0
This came video out Came out on my birthday,0,0
THIS IS BRAZIL,0,0
everybody gangsta till the parking lot becomes a gta server,0,0
Not anymore.,0,0
2:28. How did he know about wearing masks?,0,1
Anybody pay attention to the police giving dilan rooth the ak? It's real,0,0
"Petition for Donald Glover to become the next Black Panther








May Chadwick Boseman forever RIP",0,0
Sad but true,0,0
What is that man,0,0
This song hits different now in 2020. Its wild!,0,1
0:58 when you get the oreos,0,0
"""Get Silly""",0,0
"I swear I heard Bloccboy, 21, Quavo and Thugger adlibs",0,0
You forgot your mask Donald!,0,0
2 years ago i was like wtf is this but now.... i understand,0,2
"I feel ashamed of myself





I found this song on tiktok",0,0
nobody notice that he went to the ground 3 sec before the bullet was launced in this dude head,0,0
Absolute masterpiece. This is one of the best music videos ever created.,1,0
"So, if you don't wear white t-shirt and jeans never dance or sing with him or you'll die",0,0
yall this man freaking defined 2020,0,0
Why does the guy who said this is America use an AK47 it’s a Soviet weapon,0,3
Only thing he forgot to add is how Amerikkka standards of beauty got the black man loving every race BUT the black woman.,0,0
2020  you new this will happen,0,0
Hope they still play this to any prospective immigrant,0,1
you can already tell this mans a phsychopath when he pretended to hold a gun and they ran lol XD,0,1
its all fun and games till he pulls out an ak on a bunch of kids vibin XD,0,1
is this boy from community or?,0,2
So true. What BLM are doing is sick. This is America,0,1
Was that SZA on 3:21?,0,2
"This is america, so call me maybe",0,3
It was good but FlyingKittys was better,0,1
This is cool https://youtu.be/kQwNZY3CKk0,0,1
Well I’ll be here 2021,0,1
"Please like. We're trying to get the views to 1m. Thanks! 
https://youtu.be/Q066tDr8AbY",0,0
The guy of the beginning: _GAMEMODE 1_,0,1
"Now i’m surprised, how could there be 700.000 people disliking this masterpiece?",0,0
I love everything about this,0,0
-how the weather in America :         just see here..,0,0
For the ppl viewing this: The message behind the song is the problem of BLACK on BLACK violence in America.,2,1
plis help for my chanel plis help my madafaka https://www.youtube.com/channel/UCRoIb9YOAJvqXTjo9_xwQ7w?sub_confirmation=1,0,0
"No joke this is one of the greatest music videos of all time.

It's a genuinely terrifying song. Like it's one of those songs you feel guilty for bopping your head to. I'm not American but some of my friends are and I can't imagine how frightening it must be to live there right now.

What makes me sad is the fact that if America doesn't get it's act together...this song will always be relevant.",19,5
i dont know if i want to be an actor for this guy..,0,1
"Nobody:

The quiet kid when he comes to school with a duffel bag",0,2
This is south africa  unfortunately,1,1
I don't know but this kinda offensive to America I think now people will avoid goin to America because of this,3,1
This music video predict 2020,0,1
Why did I find “this is Nigeria” first before this? ,0,2
